country,num_mentions
,1350
"Republic of Colombia, Colombia",24
United States,1027
Taiwan,52
Mexico,127
"Commonwealth of Australia, Australia",153
Jamaica,28
"Federative Republic of Brazil, Brazil",15
"Republic of India, India",59
"Republic of the Philippines, Philippines",50
"Republic of Croatia, Croatia",3
Union of Soviet Socialist Republics,16
"Republic of Indonesia, Indonesia",99
"Republic of Korea, South Korea",13
"Kingdom of Denmark, Denmark",12
"Federal Republic of Germany, Germany",184
New Zealand,5
"United Kingdom of Great Britain and Northern Ireland, United Kingdom",95
"People's Republic of China, China",400
"Republic of Kenya, Kenya",4
"Repubblica Italiana, Italy",49
"Republic of Costa Rica, Costa Rica",2
"Co-operative Republic of Guyana, Guyana",4
"Kingdom of Belgium, Belgium",2
"Republic of Macedonia, Macedonia",6
"Federal Democratic Republic of Ethiopia, Ethiopia",13
Malaysia,2
Antarctica,16
"Russian Federation, Russia",71
"Hashemite Kingdom of Jordan, Jordan",22
Japan,57
"Kingdom of Thailand, Thailand",12
"Republic of France, France",67
Dominican Republic,2
Georgia,73
"Islamic Republic of Pakistan, Pakistan",3
"State of Israel, Israel",45
"Republic of Trinidad and Tobago, Trinidad and Tobago",2
Greenland,3
"Socialist Republic of Vietnam, Vietnam",18
"Republic of South Africa, South Africa",21
"Hong Kong Special Administrative Region, Hong Kong",3
"Bailiwick of Jersey, Jersey",3
"Republic of Finland, Finland",2
"Kingdom of the Netherlands, Netherlands",19
Ireland,8
"Republic of Panama, Panama",4
"Republic of Mozambique, Mozambique",1
"Grand Duchy of Luxembourg, Luxembourg",1
"Republic of Chile, Chile",6
"Republic of Botswana, Botswana",1
Switzerland,19
"State of Qatar, Qatar",1
"Principality of Monaco, Commune de Monaco, Monaco",3
"Kingdom of Spain, Spain",4
"Republic of Bulgaria, Bulgaria",4
"State of Kuwait, Kuwait",3
"Republic of Poland, Poland",4
"Republic of Iraq, Iraq",28
"Republic of Yemen, Yemen",9
"Republic of Mauritius, Mauritius",1
"Federal Democratic Republic of Nepal, Patheka, Nepal",26
United Arab Emirates,4
Aruba,1
"Commonwealth of The Bahamas, Bahamas",4
"Federal Republic of Nigeria, Nigeria",7
"Republic of Uganda, Uganda",5
"Republic of Iceland, Iceland",1
"Islamic Republic of Iran, Iran",11
"Republic of Estonia, Estonia",8
"Republic of Guatemala, Guatemala",3
Barbados,1
"Democratic Socialist Republic of Sri Lanka, Sri Lanka",4
Lebanon,8
"Republic of the Sudan, Sudan",1
Puerto Rico,6
"Bolivarian Republic of Venezuela, Venezuela",25
"Republic of Peru, Peru",2
Democratic Republic of the Congo,5
British Virgin Islands,1
"Islamic Republic of Afghanistan, Afghanistan",4
"Kingdom of Saudi Arabia, Saudi Arabia",1
"Syrian Arab Republic, Syria",1
"Republic of Ghana, Ghana",5
"Republic of Singapore, Singapore",4
"Kingdom of Sweden, Sweden",2
Bosnia and Herzegovina,4
"Togolese Republic, Togo",1
"Republic of the Marshall Islands, Marshall Islands",1
"Republic of Chad, Chad",4
Libya,2
"Republic of Tunisia, Tunisia",2
"Republic of Honduras, Honduras",3
"Democratic People's Republic of Korea, North Korea",1
"Territory of Norfolk Island, Norfolk Island",8
Bermuda,2
"Republic of Malta, Malta",1
"Lao People's Democratic Republic, Laos",2
"Kingdom of Morocco, Morocco",1
"Virgin Islands of the United States, U.S. Virgin Islands",1
"Republic of Fiji, Fiji",13
Ukraine,2
"Brunei Darussalam, Brunei",1
"Slovak Republic, Slovakia",1
"Union of Burma, Myanmar",1
"Macau Special Administrative Region, Macao",29
Hungary,1
"Republic of Haiti, Haiti",1
Dominica,4
"Republic of Cuba, Cuba",1
"Republic of Nicaragua, Nicaragua",1
